url,beds,baths,address,price,area
https://www.zillow.com/apartments/evanston-il/1615-25-ridge-ave./CpYwK7/,2,1,"1615 Ridge Ave, Evanston, IL","$1,795+",
https://www.zillow.com/apartments/evanston-il/1615-25-ridge-ave./CpYwK7/,3,1,"1615 Ridge Ave, Evanston, IL","$3,150+",
https://www.zillow.com/apartments/evanston-il/1615-25-ridge-ave./CpYwK7/,4,1,"1615 Ridge Ave, Evanston, IL","$2,895+",
https://www.zillow.com/apartments/evanston-il/1000-hinman/CgzCgM/,0,1,"1000-1010 Hinman Ave, Evanston, IL","$1,495+",
https://www.zillow.com/apartments/evanston-il/1000-hinman/CgzCgM/,2,1,"1000-1010 Hinman Ave, Evanston, IL","$1,895+",
https://www.zillow.com/apartments/evanston-il/1509-hinman-ave/5XxWtp/,2,1,"1509 Hinman Ave, Evanston, IL","$2,255+",
https://www.zillow.com/apartments/evanston-il/oak-crest/5XjrX9/,0,1,"1570 Oak Ave, Evanston, IL","$1,225+",
https://www.zillow.com/apartments/evanston-il/oak-crest/5XjrX9/,2,1,"1570 Oak Ave, Evanston, IL","$1,970+",
https://www.zillow.com/apartments/evanston-il/2200-10-sherman-ave./5XjMLf/,2,1,"2200-10 Sherman Ave., 2200 Sherman Ave, Evanston, IL 60201","$2,195+/mo",895
https://www.zillow.com/apartments/evanston-il/2108-18-sherman-ave/CqH7fy/,1,1,"2108-18 Sherman Ave, 2108-18 Sherman Ave #2110-3E, Evanston, IL 60201","$1,895/mo",775
https://www.zillow.com/apartments/evanston-il/549-607-sheridan-rd./CqNzQH/,1,1,"549 Sheridan Rd, Evanston, IL","$1,795+",
https://www.zillow.com/apartments/evanston-il/549-607-sheridan-rd./CqNzQH/,2,1,"549 Sheridan Rd, Evanston, IL","$1,800+",
https://www.zillow.com/apartments/evanston-il/820-judson-apartments/Cmm9Tq/,2,1,"820 Judson Ave, Evanston, IL","$1,655+",
https://www.zillow.com/apartments/evanston-il/820-judson-apartments/Cmm9Tq/,3,1,"820 Judson Ave, Evanston, IL","$2,335+",
https://www.zillow.com/apartments/evanston-il/929-michigan/5XjCLd/,3,2,"929 Michigan, 929 Michigan Ave #935-2, Evanston, IL 60202","$2,395/mo",1420
https://www.zillow.com/apartments/evanston-il/2129-ridge-avenue/5YLCQc/,2,1,"2129 Ridge Ave, Evanston, IL","$2,195+",
https://www.zillow.com/apartments/evanston-il/2129-ridge-avenue/5YLCQc/,3,1,"2129 Ridge Ave, Evanston, IL","$3,195+",
https://www.zillow.com/apartments/evanston-il/albion-evanston/Cjk35c/,0,1,"1500 Sherman Ave, Evanston, IL","$2,360+",
https://www.zillow.com/apartments/evanston-il/albion-evanston/Cjk35c/,1,1,"1500 Sherman Ave, Evanston, IL","$2,968+",
https://www.zillow.com/apartments/evanston-il/albion-evanston/Cjk35c/,2,1,"1500 Sherman Ave, Evanston, IL","$4,319+",
https://www.zillow.com/apartments/evanston-il/1243-judson/CqnmFp/,3,2,"1243 Judson, 1243 Judson Ave #22b17cc7b, Evanston, IL 60202","$2,695+/mo",
https://www.zillow.com/apartments/evanston-il/617-grove-st/5XjNYX/,0,1,"617 Grove St, Evanston, IL","$1,335+",
https://www.zillow.com/apartments/evanston-il/617-grove-st/5XjNYX/,1,1,"617 Grove St, Evanston, IL","$1,775+",
https://www.zillow.com/apartments/evanston-il/lodge-evanston/ChGyRJ/,1,1,"1700 Oak Ave, Evanston, IL","$2,575+",
https://www.zillow.com/apartments/evanston-il/lodge-evanston/ChGyRJ/,2,1,"1700 Oak Ave, Evanston, IL","$3,350+",
https://www.zillow.com/apartments/evanston-il/hinman-court-condos/CrbL6R/,2,1,"632 Hinman Ave, Evanston, IL","$2,400+",
https://www.zillow.com/apartments/evanston-il/1125-davis-st.-1603-11-ridge-ave./95xBvY/,3,1,"1125 Davis St, Evanston, IL","$3,050+",
https://www.zillow.com/apartments/evanston-il/1125-davis-st.-1603-11-ridge-ave./95xBvY/,4,1,"1125 Davis St, Evanston, IL","$3,050+",
https://www.zillow.com/apartments/evanston-il/1311-chicago-avenue-apartments/5XjMGW/,0,1,"1311 Chicago Ave, Evanston, IL","$1,215+",
https://www.zillow.com/apartments/evanston-il/1311-chicago-avenue-apartments/5XjMGW/,1,1,"1311 Chicago Ave, Evanston, IL","$1,575+",
